Description,Status,Parking Included,Parking Price,Locker Included,Locker Price,Building Type,Deposit Structure
"Line 5 Condos is a new condominium development by Reserve Properties & Westdale Properties currently in pre-construction located at 117 Broadway Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 90/100 walk score and a 87/100 transit score. Line 5 Condos is designed by IBI Group and will feature interior design by U31. Development is scheduled to be completed in 2025. The project is 36 storeys tall and has a total of 450 suites ranging from 291 sq.ft to 1656 sq.ft. Suites are priced from $679,900 to $2,880,900.",Pre-Construction,Yes,Waitlist,Yes,"$7,500",Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 2.5% - 380 days || 10% - Occupancy || "
"Monza Condos is a new condominium development by Benvenuto Group currently under construction located at 863 Saint Clair Avenue West, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 94/100 walk score and a 83/100 transit score. Monza Condos is designed by Studio AC and will feature interior design by Patton Design Studio. Development is scheduled to be completed in 2024. The project is 9 storeys tall and has a total of 76 suites ranging from 454 sq.ft to 1599 sq.ft. Suites are priced from $950,000 to $1,695,000.",Under Construction,Yes,"$70,000 - $80,000",Yes,Included (1),Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - Occupancy || "
"Akra Living Condos is a new condominium development by Curated Properties currently in pre-construction located at 109 Erskine Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 88/100 walk score and a 86/100 transit score. Akra Living Condos is designed by RAW Design and will feature interior design by Chapi Chapo Design. Development is scheduled to be completed in 2026. The project is 22 storeys tall and has a total of 200 suites ranging from 407 sq.ft to 1480 sq.ft. Suites are priced from $694,900 to $1,489,900.",Pre-Construction,Yes,"$120,000",Yes,Waitlist,Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - Jan 2, 2024 || 5% - Jan 2, 2025 || 5% - Occupancy || "
"The Winslow Condos is a new condominium development by Devron currently under construction located at 2781 Yonge Street, Toronto in the Yonge & Eglinton neighbourhood with a 88/100 walk score and a 73/100 transit score. The Winslow Condos is designed by ERA Architects and Rafael Bigauskas Architects Inc. and will feature interior design by II BY IV DESIGN. Development is scheduled to be completed in 2023. The project is 9 storeys tall and has a total of 68 suites ranging from 1161 sq.ft to 2677 sq.ft. Suites are priced from $1,797,000 to $6,645,000.",Under Construction,Yes,"$115,000",Yes,-,Condo &Townhouse,"$10,000.00 On Signing || Balance to 10% - 15 days || "
"Forest Hill Private Residences Condos is a new condominium development by Altree Developments currently under construction located at 2 Forest Hill Road, Toronto in the Forest Hill neighbourhood with a 82/100 walk score and a 85/100 transit score. Forest Hill Private Residences Condos is designed by Graziani + Corazza Architects Inc. and will feature interior design by U31. Development is scheduled to be completed in 2024. The project is 9 storeys tall and has a total of 94 suites ranging from 773 sq.ft to 2107 sq.ft. Suites are priced from $1,955,900 to $3,905,900.",Under Construction,Yes,Included (1),Yes,"$10,000",Condo &Townhouse,"$15,000.00 On Signing || Balance to 5% - 30 days || 5% - 90 days || 5% - 365 days || 5% - 540 days || 1% - Occupancy || "
"Sixty Five Broadway Condos is a new condominium development by Life Construction Inc. & Times Group Corporation currently under construction located at 65 Broadway Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 94/100 walk score and a 90/100 transit score. Sixty Five Broadway Condos is designed by Wallman Architects and will feature interior design by Tomas Pearce Interior Design Consulting Inc.. Development is scheduled to be completed in 2024. The project is 39 storeys tall and has a total of 389 suites ranging from 375 sq.ft to 1111 sq.ft. Suites are priced from $865,900 to $1,611,897.",Under Construction,Yes,"$90,000",Yes,"$9,500",Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - 180 days || 5% - 540 days || 5% - Occupancy || "
"908 St Clair Ave West Condos is a new condominium development by Canderel Residential & KingSett Capital currently in pre-construction located at 908 Saint Clair Avenue West, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 95/100 walk score and a 82/100 transit score. 908 St Clair Ave West Condos is designed by TACT Architecture Inc. and will feature interior design by Designgenics. Development is scheduled to be completed in 2025. The project is 12 storeys tall and has a total of 173 suites ranging from 460 sq.ft to 1235 sq.ft. Suites are priced from $902,900 to $1,629,900.",Pre-Construction,Yes,"$95,000",Yes,Waitlist,Condo &Townhouse,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - Feb 5, 2024 || 5% - Jun 5, 2024 || 5% - Occupancy || "
"11YV Condos is a new condominium development by Capital Developments & Metropia Urban Landscapes & RioCan Living currently under construction located at 11 Yorkville Avenue, Toronto in the Yorkville neighbourhood with a 100/100 walk score and a 97/100 transit score. 11YV Condos is designed by Sweeny and Co. and will feature interior design by Cecconi Simone. Development is scheduled to be completed in 2025. The project is 66 storeys tall and has a total of 620 suites ranging from 342 sq.ft to 1517 sq.ft. Suites are priced from $1,629,990 to $2,475,990.",Under Construction,Yes,"$199,999",Yes,Waitlist,Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - 240 days || 5% - Occupancy || "
"Line 5 South Tower Condos is a new condominium development by Reserve Properties & Westdale Properties currently under construction located at 117 Broadway Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 89/100 walk score and a 88/100 transit score. Line 5 South Tower Condos is designed by IBI Group and will feature interior design by U31. Development is scheduled to be completed in 2025. The project is 34 storeys tall and has a total of 433 suites ranging from 345 sq.ft to 1661 sq.ft. Suites are priced from $671,900 to $2,860,900.",Under Construction,Yes,Waitlist,Yes,"$12,500",Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 2.5% - 380 days || 10% - Occupancy || "
"Saisons Condos is a new condominium development by Concord Adex currently under construction located at 27 McMahon Drive, Toronto in the Bayview Village neighbourhood with a 80/100 walk score and a 68/100 transit score. Saisons Condos is designed by Architecture Unfolded and Page + Steele IBI Group Architects. Development is scheduled to be completed in 2023. The project is 30 storeys tall and has a total of 390 suites ranging from 505 sq.ft to 1621 sq.ft. Suites are priced from $1,170,900 to $1,551,900.",Under Construction,Yes,Included (1),Yes,Included (1),Condo,5% On Signing || 10% - Occupancy || 
"The Keeley Condos is a new condominium development by TAS currently under construction located at 3100 Keele Street, Toronto in the Downsview neighbourhood with a 59/100 walk score and a 66/100 transit score. The Keeley Condos is designed by Teeple Architects and will feature interior design by TACT Design. Development is scheduled to be completed in 2023. The project is 12 storeys tall and has a total of 363 suites ranging from 347 sq.ft to 1331 sq.ft. Suites are priced from $799,990 to $1,629,990.",Under Construction,Yes,"$65,000",Yes,"$10,000",Condo &Townhouse,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - Occupancy || "
"Cielo Condos is a new condominium development by Collecdev currently under construction located at 300 Bloor Street West, Toronto in the The Annex neighbourhood with a 97/100 walk score and a 100/100 transit score. Cielo Condos is designed by KPMB & ERA Architects. Development is scheduled to be completed in 2026. The project is 29 storeys tall and has a total of 284 suites ranging from 445 sq.ft to 1536 sq.ft. Suites are priced from $1,253,000 to $4,785,000.",Under Construction,Yes,Included (1),Yes,Waitlist,Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - 210 days || 5% - 690 days || 5% - Occupancy || "
"Empire Maven Condos is a new condominium development by Empire Communities that is now complete located at 1700 Avenue Road, Toronto in the Ledbury Park neighbourhood with a 86/100 walk score and a 69/100 transit score. Empire Maven Condos will feature interior design by U31. Development is scheduled to be completed in 2021. The project is 7 storeys tall and has a total of 58 suites ranging from 701 sq.ft to 2531 sq.ft. Suites are priced from $2,700,000 to $2,700,000.",Complete,Yes,Included (1),Yes,Included (1),Condo &Townhouse,"$50,000.00 On Signing || Balance to 5% - 30 days || 20% - Occupancy || "
"Galleria 03 Condos is a new condominium development by Almadev currently under construction located at 1185 Dupont Street, Toronto in the Wallace Emerson neighbourhood with a 82/100 walk score and a 82/100 transit score. Galleria 03 Condos is designed by Hariri Pontarini Architects and will feature interior design by DesignAgency. Development is scheduled to be completed in 2025. The project is 31 storeys tall and has a total of 425 suites ranging from 395 sq.ft to 1426 sq.ft. Suites are priced from $1,103,900 to $1,999,900.",Under Construction,Yes,"$100,000",Yes,"$7,500",Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - 150 days || 5% - 720 days || 5% - Occupancy || "
"Yonge City Square Condos is a new condominium development by The Gupta Group currently in pre-construction located at  4050 Yonge Street, Toronto in the Lansing-Westgate neighbourhood with a 61/100 walk score and a 88/100 transit score. Yonge City Square Condos is designed by IBI Group and will feature interior design by Studio Munge. Development is scheduled to be completed in 2027. The project is 28 storeys tall and has a total of 716 suites ranging from 325 sq.ft to 1188 sq.ft. Suites are priced from $652,000 to $2,231,000.",Pre-Construction,Yes,"$150,000",Yes,"$10,000",Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 2.5% - 150 days || 2.5% - 370 days || 2.5% - Feb 15, 2025 || 2.5% - Jun 1, 2025 || 5% - Occupancy || "
"Homes of St. Clair West Condo is a new condominium development by Urbancorp currently in pre-construction located at 836 Saint Clair Avenue West, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 93/100 walk score and a 85/100 transit score. Development is scheduled to be completed in 2017. The project is 8 storeys tall and has a total of 100 suites.",Pre-Construction,Yes,-,Yes,-,Condo,
"Hillhurst Towns is a new condominium development by 3Arc Development that is now complete located at 1202 Avenue Road, Toronto in the Lytton Park neighbourhood with a 55/100 walk score and a 77/100 transit score. Hillhurst Towns is designed by Peter Higgins Architect. Development is scheduled to be completed in 2022. The project is 3 storeys tall and has a total of 7 suites ranging from 1800 sq.ft to 2260 sq.ft. Suites are priced from $2,300,000 to $2,800,000.",Complete,Yes,Included (1),Yes,-,Townhouse,"$20,000.00 On Signing || 5% - 45 days || 5% - 120 days || 5% - 270 days || 5% - 450 days || "
"Harrington Residences Towns is a new condominium development by Kaleido Corporation currently in pre-construction located at 665 Sheppard Avenue West, Toronto in the Clanton Park neighbourhood with a 73/100 walk score and a 67/100 transit score. Harrington Residences Towns is designed by SRN Architects. Development is scheduled to be completed in 2022. The project is 5 storeys tall and has a total of 64 suites ranging from 602 sq.ft to 1412 sq.ft. Suites are priced from $599,000 to $1,269,000.",Pre-Construction,Yes,"$55,000",Yes,Included (1),Townhouse,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - 180 days || 2.5% - 360 days || 2.5% - 540 days || 5% - Occupancy || "
